Country,Latitude,Longitude,index
UZ,41.31667,69.25,0.0966589134625
VA,41.9,12.45,0.0803745199363
VC,13.13333,-61.2167,0.189108551472
VE,10.48333,-66.8667,0.176677565316
VG,18.41667,-64.6167,0.154050666313
VI,18.35,-64.9333,0.153251042176
VN,21.03333,105.85,0.102204183966
VU,-17.7333,168.3167,0.424392712395
WF,-13.95,-171.933,0.471040634307
WS,-13.8167,-171.767,0.471276052541
YE,15.35,44.2,0.232785192294
YT,-12.8431,45.1383,0.147245931756
ZA,-25.7,28.21667,0.151484012711
ZM,-15.4167,28.28333,0.0887795322865
ZW,-17.8167,31.03333,0.102446976917
