CountryCode,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
AS,-14.2667,-170.7,4763.06222625,4783.72984521,4769.22956173,4796.92143017,4762.3841925,5209.62680198,5101.59053413,5160.16470208,6521.81443952,6555.58523865,7011.57632497,7005.08171546,8087.6250741,5858.67791336,6673.23589032,6747.12187184,7857.93756507,6015.76306844,6107.24833936,6959.66337496,9784.42043944,9959.55936168,10093.2494847,10149.4016823,9741.50670718,9918.80289216,9726.2559647,10014.3877715,9810.89387801,9606.03629382,10281.0758578,9199.61006398,7844.05193944,4733.83370753,5675.16769921,5979.82341003,11491.5644385,10240.6457582,2652.14875846,7236.62737075,
AT,48.2,16.36667,5995.16861021,5973.22049378,5993.5733485,6101.51123147,5994.0677067,5368.68194205,5505.23871199,5467.52496148,4689.52376696,4967.34068666,4436.30097325,4437.74225,3054.02473393,5599.30669652,5195.87427757,4747.59217682,3396.44182697,5246.84315459,5003.9481021,4296.56915048,325.889988634,371.358917097,221.208651277,367.270585792,550.51507054,579.583284974,551.183725549,642.012968481,767.556106896,1045.28927123,388.303882432,1037.9444171,6299.39155398,5672.45677954,5426.03055817,4634.82885716,2891.9867648,4106.8127454,9468.92305999,5764.1241342,
AU,-35.2667,149.1333,7578.49011521,7597.7205777,7586.04487397,7651.57616875,7577.18710529,7901.00283473,7820.92195606,7888.1042673,9389.35090108,9425.53758108,9890.7884198,9884.28698092,6842.30724461,8724.97015589,9458.56589192,9622.77316251,6496.48624763,8894.40908208,8968.66992543,9822.65253308,9983.64064811,10216.0946404,10109.8049395,10255.532073,10245.287856,10411.9941293,10229.6868767,10512.9667995,10551.2433154,10709.909146,10239.7491447,8997.70342831,8243.90123208,4939.80279568,4587.94539147,5597.57211126,10007.4267717,7388.11151144,711.238365623,9219.12334429,
AW,12.51667,-70.0333,3628.12502733,3621.7510482,3616.84561922,3363.2681059,3631.78386193,3853.19096541,3819.22154305,3752.94989226,2287.46828894,1723.33468412,1880.83727316,1888.83890631,8372.78348519,2012.5561377,1130.27702135,1767.73041856,8723.90287958,2272.89599613,2524.13646341,2225.46245207,5258.58001485,5058.65171749,5191.20321693,5052.28029619,4974.5979764,4850.83005231,4986.34036764,4770.73111954,4682.20220476,4452.58371489,5084.25661589,6168.70010834,2951.36753241,8582.1909801,10015.8555212,8790.6294995,4466.82279886,7036.26272435,9691.51624693,777.295023911,
AX,60.11667,19.9,5362.08255724,5340.5968042,5362.05797366,5510.09023248,5360.4402456,4697.3522635,4839.26378539,4810.18363154,4298.53038232,4677.35423108,4162.77100947,4162.01672654,2905.81589463,5235.50212246,5019.34114747,4465.16248715,3256.51520554,4835.16781098,4550.73194968,3956.35318328,580.809167914,818.433740441,892.440722519,992.398002913,693.065227333,911.879326405,673.814707647,1042.97759118,972.479149635,1086.63115269,1103.58385021,713.581596132,6872.76976113,4992.5527818,5035.68270952,4084.94754063,3675.12151337,4876.55712513,9057.65933354,5957.48592514,
AZ,40.38333,49.86667,7039.07264919,7019.06554961,7041.40335448,7238.47460165,7036.67409106,6338.24683103,6483.56628478,6470.09993431,6165.38372871,6543.28076158,6023.98464503,6023.68328812,1425.21314519,7103.14374958,6854.02208707,6329.23583129,1737.78103698,6695.82208086,6400.68039826,5825.58288591,1901.6844625,2082.73122164,1947.19092877,2087.56503493,2189.93375259,2292.10647727,2180.89022378,2367.80647698,2467.93792815,2719.15043986,2065.39476411,1198.93200935,7582.98457594,4675.70965184,3907.24823594,3424.8248733,3889.94107778,3705.44517178,7827.10775456,7464.13638446,
BA,43.86667,18.41667,6302.29982854,6280.32311348,6300.50429382,6402.47549825,6301.26984336,5680.64183869,5816.59802831,5778.07883335,4957.05510934,5209.17235848,4677.93600457,4679.91438393,3007.39185809,5855.4739462,5405.22460104,4989.09221596,3339.20308815,5515.9904018,5283.06165768,4555.20041116,640.656814819,629.054005472,441.26956299,534.10838576,841.062086065,815.627472185,845.077773201,837.905123098,1006.9744728,1294.17104571,466.70704935,1178.71660468,6210.84438274,5820.73846323,5438.30964946,4726.38324448,2697.53535549,3792.25116012,9437.94046002,5844.58839194,
BB,13.1,-59.6167,4166.73014394,4157.52017728,4155.66878714,3927.38536259,4170.09179745,4288.61166293,4277.65933301,4207.47213101,2603.08002374,2110.69743265,2089.32217214,2098.76849706,7938.06816317,2556.18178358,1598.3812469,2082.40043051,8286.98262245,2729.42376238,2920.49319046,2418.05572477,4789.57726981,4568.3636182,4681.92977853,4536.94320252,4515.42466535,4366.86136907,4529.27110496,4273.10482125,4213.04108287,4012.42921167,4552.15670543,5748.86679481,2679.97912438,8837.85699943,9956.47830746,8764.68793721,3763.98874137,6348.82764217,10341.5969498,882.450235029,
BD,23.71667,90.4,7716.21285264,7706.1675289,7724.88782225,8024.17352975,7712.24703644,7105.26979498,7220.81661151,7252.70255817,7905.8272522,8451.14092179,8034.70008585,8030.31399067,1247.54187228,8722.09095038,8960.05143376,8283.49828401,898.238574302,8272.72396388,7929.90379983,7734.0087384,4395.64141575,4618.55149105,4511.80608521,4658.93102945,4670.90581961,4818.77220801,4657.38758608,4914.70142021,4972.45374586,5180.01788399,4654.88936206,3447.77734599,9727.78461425,3037.97313727,1513.64152823,1880.20699402,6215.74249908,4694.47858057,5218.48152635,10055.1589975,
BE,50.83333,4.333333,5530.4601725,5508.43835014,5527.93878936,5613.11490986,5529.69543805,4935.78496775,5066.97680699,5023.62198735,4142.98145583,4403.78414376,3872.47820652,3874.13395366,3550.12228668,5043.54607604,4627.09412827,4183.82902374,3898.26109207,4701.92544634,4471.1026621,3742.25333602,404.509876924,197.548562924,374.226508993,306.092617008,190.024124854,31.3623599855,209.402913765,162.634630354,198.747340422,481.515681555,432.766063779,1401.16811052,6001.16167355,5872.41088665,5839.52797685,4947.10576257,2860.84296141,4476.36850023,9891.54960585,5261.0334309,
